id,title,rating,genre,age,runtime,popularity,score,is_acclaimed,is_panned,budget_efficiency,is_blockbuster,is_indie,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
854,The Return of Swamp Thing,PG-13,Action,35,short,low,4.7,False,True,low,False,True,39.0,0,False,False,0.0,52.0,0,False,False,0.0
855,We're No Angels,PG-13,Comedy,35,medium,mid,6.1,False,False,low,False,False,39.0,2,False,False,1.3496344117647059,46.0,7,True,False,1.0366682282312925
856,Johnny Handsome,R,Crime,35,medium,low,6.1,False,False,low,False,False,47.0,6,False,False,2.1203563574538484,37.0,5,False,False,0.6998614539215687
857,Fat Man and Little Boy,PG-13,Biography,35,long,low,6.5,False,False,low,False,False,44.0,2,True,False,1.5620650724206349,64.0,4,True,True,2.6863268151268116
858,Police Academy 6: City Under Siege,PG,Comedy,35,short,mid,4.4,False,True,low,False,False,51.0,0,False,False,0.0,44.0,0,False,False,0.0
859,Pink Cadillac,PG-13,Action,35,long,mid,5.4,False,True,low,False,False,61.0,2,False,False,2.9675882677419354,59.0,9,False,False,3.1071312603597403
860,Three Fugitives,PG-13,Action,35,medium,mid,6.2,False,False,mid,False,False,52.0,0,False,False,0.0,48.0,6,False,False,2.6132227810480546
861,Robot Jox,PG,Action,35,short,low,5.4,False,True,low,False,False,42.0,2,False,False,1.26423,39.0,0,False,False,0.0
862,No Holds Barred,PG-13,Action,35,medium,low,4.4,False,True,mid,False,True,36.0,0,False,False,0.0,36.0,0,False,False,0.0
863,Stepfather II: Make Room for Daddy,R,Horror,35,medium,low,5.7,False,False,mid,False,True,28.0,0,False,False,0.0,37.0,0,False,False,0.0
864,The Big Picture,PG-13,Comedy,35,medium,low,6.2,False,False,low,False,True,41.0,0,False,False,0.0,31.0,2,False,False,5.281223406707317
865,Parents,R,Comedy,35,short,low,6.1,False,False,low,False,True,44.0,0,False,False,0.0,39.0,0,False,False,0.0
866,Dad,PG,Comedy,35,medium,low,6.3,False,False,mid,False,False,45.0,0,False,False,0.0,64.0,2,True,False,1.099769255263158
867,Speed Zone,PG,Action,35,medium,low,4.5,False,True,low,False,False,45.0,0,False,False,0.0,54.0,0,False,False,0.0
868,Longtime Companion,R,Drama,35,medium,low,7.6,True,False,mid,False,True,39.0,0,False,False,0.0,30.0,0,False,False,0.0
869,Heart of Dixie,PG,Drama,35,medium,low,5.2,False,True,low,False,True,50.0,0,False,False,0.0,27.0,2,False,False,3.001345533333333
870,A Dry White Season,R,Drama,35,medium,low,7.0,False,False,low,False,True,36.0,0,False,False,0.0,54.0,2,True,True,4.569296416666667
871,The Horror Show,R,Horror,35,medium,low,5.0,False,True,low,False,True,29.0,0,False,False,0.0,49.0,1,False,False,1.2530045714285714
872,The Toxic Avenger Part II,R,Action,35,medium,low,5.1,False,True,low,False,True,40.0,0,False,False,0.0,39.0,0,False,False,0.0
873,Dead Bang,R,Action,35,medium,low,6.1,False,False,low,False,False,59.0,0,False,False,0.0,40.0,0,False,False,0.0
874,Gross Anatomy,PG-13,Drama,35,medium,low,6.1,False,False,mid,False,True,42.0,1,False,False,20.59846,30.0,2,True,False,0.8332548083333333
875,Renegades,R,Action,35,medium,low,5.4,False,True,low,False,False,44.0,2,False,False,5.9746676333333335,23.0,0,False,False,0.0
876,Sing,PG-13,Drama,35,medium,low,6.9,False,False,low,False,False,41.0,0,False,False,0.0,35.0,0,False,False,0.0
877,After Midnight,R,Horror,35,medium,low,5.5,False,False,low,False,True,37.0,0,False,False,0.0,27.0,0,False,False,0.0
878,Farewell to the King,PG-13,Action,35,medium,low,6.3,False,False,low,False,False,45.0,2,False,False,2.850007375,48.0,6,False,False,2.6132227810480546
879,Immediate Family,PG-13,Drama,35,medium,low,6.0,False,False,low,False,False,42.0,2,False,False,1.8334868782051281,42.0,1,True,False,2.47648
880,In Country,R,Drama,35,long,low,5.9,False,False,low,False,False,63.0,4,False,False,3.5076423583333334,19.0,0,False,False,0.0
881,"Enemies, A Love Story",R,Comedy,35,medium,low,6.6,False,False,low,False,True,59.0,5,False,False,1.6247502718681317,43.0,0,False,False,0.0
882,Physical Evidence,R,Crime,35,medium,low,5.1,False,True,low,False,False,47.0,0,False,False,0.0,53.0,8,False,True,1.411684217160353
883,Brenda Starr,PG,Adventure,35,medium,low,4.8,False,True,low,False,False,62.0,0,False,False,0.0,24.0,2,False,True,6.567293240000001
884,How I Got Into College,PG-13,Comedy,35,short,low,5.8,False,False,low,False,False,29.0,0,False,False,0.0,27.0,1,False,False,0.30956864864864864
