id,title,age,rating_cat,genre_cat,runtime,popularity,score,budget,budget_efficiency_cat,director_age,director_experience,director_is_acclaimed,director_is_panned,director_efficiency,star_age,star_experience,star_is_acclaimed,star_is_panned,star_efficiency
1559,Sabrina,29,PG,Comedy,127.0,38000.0,6.3,58000000.0,low,61.0,5,True,False,5.169192863978496,53.0,12,True,False,5.507416042932028
1560,While You Were Sleeping,29,PG,Comedy,103.0,95000.0,6.7,17000000.0,high,32.0,2,False,True,7.230792384615384,31.0,0,False,False,0.0
1561,Get Shorty,29,R,Comedy,105.0,78000.0,6.9,30250000.0,high,42.0,3,False,False,2.598595745153664,65.0,9,True,True,1.5108566646049992
1562,Babe,29,G,Comedy,91.0,119000.0,6.8,30000000.0,high,43.0,0,False,False,0.0,55.0,0,False,False,0.0
1563,Dead Man Walking,29,R,Crime,122.0,90000.0,7.5,11000000.0,high,37.0,0,False,False,0.0,49.0,3,True,False,2.717006943434343
1564,The Brady Bunch Movie,29,PG-13,Comedy,90.0,21000.0,6.1,12000000.0,high,48.0,0,False,False,0.0,46.0,1,False,False,0.4727135
1565,Johnny Mnemonic,29,R,Action,96.0,68000.0,5.7,26000000.0,low,42.0,0,False,False,0.0,31.0,4,False,False,4.022923967857143
1566,The Bridges of Madison County,29,PG-13,Drama,135.0,76000.0,7.6,24000000.0,high,65.0,11,True,False,3.4092540544422643,65.0,14,True,True,3.23487563191046
1567,Strange Days,29,R,Action,145.0,68000.0,7.2,42000000.0,low,44.0,2,False,False,2.077179825,33.0,1,True,False,0.8007296451612903
1568,Cutthroat Island,29,PG-13,Action,124.0,27000.0,5.7,98000000.0,low,36.0,6,False,True,2.1704562249078463,39.0,1,False,True,0.3916303
