director,primaryName,birthYear,deathYear,knownForTitle,profession_1,profession_2
Stuart Gordon,Stuart Gordon,1947.0,2020.0,Re-Animator,writer,director
Stuart Gordon,Stuart Gordon,1950.0,2014.0,Creep,composer,music_department
Susan Seidelman,Susan Seidelman,1952.0,0.0,Desperately Seeking Susan,director,producer
Howard Storm,Howard Storm,1931.0,0.0,Bananas,director,actor
Daniel Attias,,,,,,
Joyce Chopra,Joyce Chopra,1936.0,0.0,The Lemon Sisters,director,producer
James Komack,James Komack,1924.0,1997.0,The Courtship of Eddie's Father,producer,writer
Geoff Murphy,Geoff Murphy,1938.0,2018.0,The Quiet Earth,director,actor
Martin Ritt,Martin Ritt,1914.0,1990.0,Hud,director,producer
Kevin Reynolds,Kevin Reynolds,1952.0,0.0,Waterworld,director,writer
Rudy De Luca,,,,,,
Donna Deitch,Donna Deitch,1945.0,0.0,Desert Hearts,director,editor
Stan Dragoti,Stan Dragoti,1932.0,2018.0,Mr. Mom,director,writer
Andrew Davis,Andrew Davis,1946.0,0.0,The Fugitive,director,cinematographer
Andrew Davis,Andrew Davis,1944.0,0.0,The Legend of Bagger Vance,music_department,composer
Burt Reynolds,Burt Reynolds,1936.0,2018.0,Boogie Nights,actor,director
Franc Roddam,Franc Roddam,1946.0,0.0,Moby Dick,writer,producer
Bruce Beresford,Bruce Beresford,1940.0,0.0,Breaker Morant,director,producer
Lance Hool,Lance Hool,1948.0,0.0,Man on Fire,producer,actor
Phillip Borsos,Phillip Borsos,1953.0,1995.0,The Grey Fox,director,actor
Steven Hahn,,,,,,
Arna Selznick,,,,,,
Bud Yorkin,Bud Yorkin,1926.0,2015.0,Blade Runner 2049,producer,director
Joel Silberg,Joel Silberg,1927.0,2013.0,Hershele,director,writer
Tony Scott,Tony Scott,1944.0,2012.0,Domino,producer,director
Tony Scott,Tony Scott,1922.0,2004.0,The Hitter,actor,
Tony Scott,Tony Scott,1976.0,0.0,Chosen,actor,writer
Tony Scott,Tony Scott,1921.0,2007.0,Cinderella's Love Lesson,actor,composer
Peter Faiman,Peter Faiman,1944.0,0.0,Crocodile Dundee,producer,director
Russell Mulcahy,Russell Mulcahy,1953.0,0.0,Highlander,director,producer
Howard Deutch,Howard Deutch,1950.0,0.0,Pretty in Pink,director,producer
Oliver Stone,Oliver Stone,1946.0,0.0,JFK,director,producer
