primaryName,birthYear,deathYear,knownForTitle,primaryProfession,secondaryProfession
Brooke Adams,1949.0,0.0,Invasion of the Body Snatchers,actor,producer
Brooke Shields,1965.0,0.0,The Blue Lagoon,actor,producer
Brooklynn Prince,2010.0,0.0,The Florida Project,actor,director
Bruce A. Evans,1946.0,0.0,Stand by Me,writer,producer
Bruce Beresford,1940.0,0.0,Breaker Morant,director,producer
Bruce Campbell,1958.0,0.0,Bubba Ho-Tep,actor,producer
Bruce Dern,1936.0,0.0,Nebraska,actor,producer
Bruce Greenwood,1956.0,0.0,Star Trek,actor,producer
Bruce Hunt,,,,,
Bruce Joel Rubin,1943.0,0.0,Ghost,writer,producer
Bruce Malmuth,1934.0,2005.0,Hard to Kill,director,actor
Bruce McCulloch,1961.0,0.0,The Kids in the Hall,actor,writer
Bruce McDonald,1959.0,0.0,Pontypool,director,producer
Bruce Paltrow,1943.0,2002.0,St. Elsewhere,producer,writer
Bruce Ramsay,1966.0,0.0,Alive,actor,producer
Bruce Robinson,1946.0,0.0,Withnail & I,actor,writer
Bruce Willis,1955.0,0.0,Die Hard,actor,producer
Bruno Barreto,1955.0,0.0,Dona Flor and Her Two Husbands,director,producer
